Date,Title,Description,Sentiment Score,Sentiment,URL
2025-03-04T10:53:33Z,"Sensex falls below 73,000 amid global equity rout on tariff war worries","BSE Sensex falls below 73,000 amid global equity rout, foreign fund outflows, and tariff war concerns.",-0.9517,Negative,https://www.thehindubusinessline.com/markets/sensex-falls-below-73000-amid-global-equity-rout-on-tariff-war-worries/article69289632.ece
2025-03-03T18:50:00Z,"Sensex falls 112 pts, Nifty declines for 9th day on selling in HDFC Bank, RIL","MUMBAI, March 3: Benchmark BSE Sensex declined by 112 points while Nifty fell for the ninth straight session on Monday following selling in blue-chips HDFC Bank and Reliance Industries. In a see-saw trade, the 30-share BSE benchmark declined by 112.16 points …",0.872,Positive,https://thehillstimes.in/business/sensex-falls-112-pts-nifty-declines-for-9th-day-on-selling-in-hdfc-bank-ril
2025-03-03T12:28:05Z,"NSE/BSE, top gainers & top losers today 3 Mar 2025: UltraTech, Bharti Airtel gain; Reliance, Bajaj Finserv drag","The day’s trading was characterized by high volatility with markets recovering from intraday lows. The Nifty tested the crucial psychological support of 22,000 before staging a recovery in the latter half of the trading session",0.8591,Positive,https://www.thehindubusinessline.com/markets/nse-bse-stock-market-top-gainers-top-losers-today-ultracemco-bhartiartl-reliance-bajajfinsv-3-mar-2025/article69285531.ece
2025-03-03T11:03:29Z,Stock market update: Stocks that hit 52-week lows on NSE in today's trade,"Coal India Ltd,  RIL,  Bajaj Auto,  Bajaj Finserv and  HDFC Bank were among the top losers on NSE in today's trade.",0.128,Positive,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/118683993.cms
2025-02-27T12:36:44Z,"Sensex flat, Nifty falls for 7th session; financials gain, auto and realty drag","The BSE Sensex rose by 10.31 points to close at 74,612.43, while the Nifty 50 fell by 2.50 points to 22,545.05, marking its seventh consecutive day of decline.",0.765,Positive,https://www.thehindubusinessline.com/markets/stock-markets/sensex-flat-nifty-falls-for-7th-session-financials-gain-auto-and-realty-drag/article69270427.ece
2025-02-27T12:25:11Z,"Top gainers & losers today, 27 February 2025: Bajaj Finserv, Bajaj Finance lead gainers; UltraTech Cement, Tata Motors top losers","The session was characterised by volatility due to monthly derivatives expiry, leading to a sense of indecision in the markets",-0.2023,Negative,https://www.thehindubusinessline.com/markets/stock-markets/nse-bse-stock-market-top-gainers-top-losers-today-bajajfinserv-bajajfinance-ultracemco-tatamotors-27-feb-2025/article69270307.ece
2025-02-27T04:49:09Z,"Markets open flat amid monthly expiry volatility, Trump tariff concerns","Market participants exhibited hesitation due to the mid-week holiday and the approaching monthly contract expiry, resulting in subdued trading activity",0.0516,Positive,https://www.thehindubusinessline.com/markets/markets-open-flat-amid-monthly-expiry-volatility-trump-tariff-concerns/article69269075.ece
2025-02-27T04:15:02Z,"Sensex Climbs 231 Points In Early Trade, Nifty Up By 65 Points","Equity benchmark indices Sensex and Nifty began the trade on a positive note on Thursday but later faced volatile trends amid unabated foreign fund outflows, monthly derivatives expiry and weak global market cues.",0.8625,Positive,https://www.ndtv.com/business-news/sensex-climbs-231-points-in-early-trade-nifty-up-by-65-points-7804679
2025-02-27T01:52:15Z,"Share Market Highlights 27 February 2025: Sensex, Nifty end flat; Shriram Finance jumps over 5%","Sensex, Nifty updates on 27 February 2025: Indian equity indices ended flat on Thursday. The Sensex rose 10.31 points to 74,612.43, while the Nifty dipped 2.50 points to 22,545.05. Shriram Finance, Bajaj Finserv, and Bajaj Finance led the gainers, while Ultra…",0.8519,Positive,https://www.thehindubusinessline.com/markets/share-market-highlights-27-february-2025/article69266191.ece
2025-02-25T11:32:43Z,Stock market update: Fertilisers stocks up as market rises,The 30-share BSE Sensex closed  up  147.71 points at 74602.12,0.0,Neutral,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/118557869.cms
2025-02-25T08:17:21Z,"Don’t fear Tesla; add defence, railways stocks post market correction: Deven Choksey","Deven Choksey highlights strong fundamentals in defence and railways stocks and sees opportunities in specific autos despite Tesla's market entry concerns. He suggests looking at Tata Technology, Bajaj Housing Finance, ITC Hotel, Minda Industries, Kotak Bank,…",0.8797,Positive,https://economictimes.indiatimes.com/markets/expert-view/dont-fear-tesla-add-defence-railways-stocks-post-market-correction-deven-choksey/articleshow/118552115.cms
2025-02-25T04:50:48Z,"Markets open mixed amid global trade tensions, FII selling pressure","Equity markets open cautiously, Sensex and Nifty show modest gains despite global concerns, analysts predict further dips.",-0.0516,Negative,https://www.thehindubusinessline.com/markets/stock-markets/markets-open-mixed-amid-global-trade-tensions-fii-selling-pressure/article69260894.ece
2025-02-24T04:11:20Z,"Sensex Slides Below 75,000 In Early Trade As Markets Extend Losses","The Indian benchmark indices opened lower on Monday amid weak global cues, as selling was seen in the IT and financial service sectors in the early trade.",-0.8807,Negative,https://www.ndtv.com/business-news/sensex-falls-567-points-nifty-drops-188-points-in-early-trade-7780785
2025-02-19T11:01:26Z,"Sensex, Nifty close shade lower in choppy trade","Sensex and Nifty dip slightly in volatile trade, IT stocks drag, FII flows uncertain, broader market optimistic.",0.4019,Positive,https://www.thehindubusinessline.com/markets/forex/sensex-nifty-close-shade-lower-in-choppy-trade/article69237933.ece
2025-02-19T01:07:10Z,"Stock Market Highlights 19 February 2025: Sensex, Nifty close flat","Sensex, Nifty updates on 19 February 2025: Benchmark indices Sensex and Nifty ended marginally lower in volatile trade on Wednesday dragged by blue-chip IT stocks. The 30-share BSE benchmark Sensex dipped 28.21 points or 0.04 per cent to settle at 75,939.18. …",0.7774,Positive,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-updates-19-february-2025/article69234539.ece
2025-02-17T10:38:33Z,"Top gainers & losers today, 17 February: Bajaj Finserv, PowerGrid surge; M&M, Bharti Airtel decline",Market sentiment remains cautious as modest Q3 FY25 earnings growth and sustained FII selling pressure continue to impact near-term market dynamics,0.6369,Positive,https://www.thehindubusinessline.com/markets/stock-markets/nse-bse-stock-market-top-gainers-top-losers-today-bajajfinserv-powergrid-mm-bartiairtel-17-feb-2025/article69229606.ece
2025-02-17T03:58:50Z,"RIL, M&M drag Sensex over 450 points lower; Nifty below 23,900","Indian benchmark indices were down for the ninth consecutive session, with the BSE Sensex dropping 299 points and the Nifty50 declining 74 points. Key index players like Reliance Industries and Infosys weighed the market, while sectors like Auto and IT also s…",0.34,Positive,https://economictimes.indiatimes.com/markets/stocks/news/ril-mm-drag-sensex-400-points-lower-nifty-below-23900/articleshow/118317845.cms
2025-02-17T01:03:10Z,"Stock Market Highlights 17 February 2025: Sensex, Nifty crawl up to close marginally higher","Sensex, Nifty, Share Prices : Stock markets snapped their eight-day losing run on Monday, with benchmark Sensex closing higher by 57 points on the back of value buying in blue-chip stocks HDFC Bank and Reliance Industries.
Helped by fag-end buying, the 30-sha…",0.296,Positive,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-highlights-17th-february-2025/article69225845.ece
2025-02-14T04:08:21Z,Sensex Gains 344 Points As PM Modi Meets Donald Trump Amid Tariff Fears,The Indian benchmark indices opened higher on Friday as Prime Minister Narendra Modi and US President Donald Trump announced plans to cement &quot;some wonderful trade deals&quot; for India and the US.,0.7906,Positive,https://www.ndtv.com/business-news/sensex-gains-344-points-as-pm-modi-meets-donald-trump-amid-tariff-fears-7707070
2025-02-13T18:40:00Z,"Sensex, Nifty pare early gains to close lower for 7th straight session; IT, banking shares major drag","MUMBAI, Feb 13: Benchmark indices Sensex and Nifty pared early gains to close lower for the seventh straight day on Thursday, dragged by fag-end selling in select IT and banking shares and foreign fund outflows. The 30-share BSE Sensex dipped 32.11 points or …",0.9403,Positive,https://thehillstimes.in/business/sensex-nifty-pare-early-gains-to-close-lower-for-7th-straight-session-it-banking-shares-major-drag
2025-02-13T11:41:18Z,"Top gainers & losers today, 13 Feb: Sun Pharma, Tata Steel lead gains; Adani Ports, Infosys drag","Top gainers: Sun Pharma, Tata Steel, Bajaj Finserv, Bajaj Finance, Kotak Mahindra Bank; BSE Sensex closed slightly lower.",0.1317,Positive,https://www.thehindubusinessline.com/markets/nse-bse-stock-market-top-gainers-top-losers-today-sunpharma-tatasteel-adaniports-13-feb-2025/article69215028.ece
2025-02-13T11:22:36Z,"Tata Steel, Sun Pharma lead gains as Sensex closes slightly lower amid trade talk anticipation","Indian benchmark indices close lower after volatile session; investors cautious ahead of Trump-Modi meeting, metal and pharma stocks lead gains.",0.5391,Positive,https://www.thehindubusinessline.com/markets/stock-markets/tata-steel-sun-pharma-lead-gains-as-sensex-closes-slightly-lower-amid-trade-talk-anticipation/article69214992.ece
2025-02-13T01:12:48Z,"Share Market Highlights 13 February 2025: Sensex, Nifty end lower as investors turn cautious ahead of Trump-Modi meeting","Sensex, Nifty updates on 13 February 2025: Benchmark indices Sensex and Nifty pared early gains to close lower for the seventh straight day on Thursday, dragged by fag-end selling in select IT and banking shares and foreign fund outflows. The 30-share BSE Sen…",0.7184,Positive,https://www.thehindubusinessline.com/markets/share-market-highlights-13-february-2025/article69211647.ece
2025-02-12T12:07:27Z,"Top gainers and losers today, 12 February: Bajaj Finserv leads gains as M&M, ITC drag indices","Among the top gainers were Bajaj Finserv, which rose by 2.64%, and Tata Steel, which increased by 1.65%. Other notable gainers included Larsen & Toubro, UltraTech Cement, and Kotak Mahindra Bank.",0.5859,Positive,https://www.thehindubusinessline.com/markets/stock-markets/nse-bse-stock-market-top-gainers-top-losers-today-bajajfinsv-tatasteel-lt-ultracemco-kotakbank-mahindra-12-feb-2025/article69211106.ece
2025-02-12T11:53:07Z,"Markets stage sharp recovery from day’s low, end marginally lower",Indian equity benchmarks end marginally lower after volatile session; market recovers from intraday losses amid global cues and fund outflows.,-0.8563,Negative,https://www.thehindubusinessline.com/markets/stock-markets/markets-stage-sharp-recovery-from-days-low-end-marginally-lower/article69211027.ece
2025-02-07T01:15:20Z,"Share Market Highlights 7 February 2025: Sensex, Nifty settle lower after RBI cuts repo rate to 6.25%; FIIs continue selling spree","Sensex, Nifty updates on 7 February 2025: Equity markets closed lower on Wednesday despite the Reserve Bank of India’s first rate cut since May 2020, as investors remained concerned about global trade tensions and continued foreign institutional investor (FII…",-0.802,Negative,https://www.thehindubusinessline.com/markets/stock-market-updates-february-7-2025/article69188765.ece
